f/ Hz,Re(V)/ V,Im(v)/ V
8.00E+03,2.62130681536249e-02,-8.15011884508807e-04
8.02E+03,2.62506925613388e-02,-8.19097426497571e-04
8.03E+03,2.62885050023078e-02,-8.23208175565942e-04
8.05E+03,2.63265066308733e-02,-8.27344352974920e-04
8.07E+03,2.63646986114463e-02,-8.31506182365938e-04
8.09E+03,2.64030821186150e-02,-8.35693889791852e-04
8.10E+03,2.64416583372539e-02,-8.39907703748405e-04
8.12E+03,2.64804284626335e-02,-8.44147855206158e-04
8.14E+03,2.65193937005323e-02,-8.48414577642917e-04
8.15E+03,2.65585552673502e-02,-8.52708107076658e-04
8.17E+03,2.65979143902225e-02,-8.57028682098934e-04
8.19E+03,2.66374723071367e-02,-8.61376543908829e-04
8.20E+03,2.66772302670495e-02,-8.65751936347407e-04
8.22E+03,2.67171895300062e-02,-8.70155105932701e-04
8.24E+03,2.67573513672617e-02,-8.74586301895241e-04
8.26E+03,2.67977170614022e-02,-8.79045776214137e-04
8.27E+03,2.68382879064696e-02,-8.83533783653712e-04
8.29E+03,2.68790652080871e-02,-8.88050581800712e-04
8.31E+03,2.69200502835858e-02,-8.92596431102101e-04
8.32E+03,2.69612444621344e-02,-8.97171594903423e-04
8.34E+03,2.70026490848693e-02,-9.01776339487798e-04
8.36E+03,2.70442655050269e-02,-9.06410934115498e-04
8.37E+03,2.70860950880780e-02,-9.11075651064162e-04
8.39E+03,2.71281392118637e-02,-9.15770765669649e-04
8.41E+03,2.71703992667329e-02,-9.20496556367519e-04
8.43E+03,2.72128766556819e-02,-9.25253304735186e-04
8.44E+03,2.72555727944960e-02,-9.30041295534732e-04
8.46E+03,2.72984891118929e-02,-9.34860816756401e-04
8.48E+03,2.73416270496677e-02,-9.39712159662790e-04
8.49E+03,2.73849880628405e-02,-9.44595618833745e-04
8.51E+03,2.74285736198054e-02,-9.49511492211972e-04
8.53E+03,2.74723852024820e-02,-9.54460081149391e-04
8.54E+03,2.75164243064686e-02,-9.59441690454210e-04
8.56E+03,2.75606924411979e-02,-9.64456628438788e-04
8.58E+03,2.76051911300940e-02,-9.69505206968255e-04
