Target frequency/ kHz,Frequency/ kHz,Frequency std/ Hz,V_Cpp/ V,V_Cpp std/ uV,phase/ °,phase std/ °
8,8.00026,3.8367,0.20584,449.52,3.63,0.31
9,9.00079,5.32285,0.22313,591.54,4.63,0.31
10,9.99765,3.97728,0.24667,602,4.9,0.31
11,10.999,3.0159,0.27911,707.92,5.44,0.32
12,11.999,3.70124,0.32604,583.42,6.68,0.31
13,12.9987,5.2032,0.39803,559.72,8.46,0.22
13.5,13.4982,4.1459,0.45195,743.13,9.85,0.22
14,14.0008,3.20544,0.52734,506.88,11.77,0.2
14.5,14.5003,2.79259,0.63564,517.38,14.86,0.24
15,15.0017,3.61458,0.80665,611.29,19.75,0.19
15.5,15.5006,2.67596,1.0919,711.9,28.86,0.19
16,16.0018,3.5336,1.5621,661,50.33,0.22
16.1,16.1015,3.81255,1.6627,697.21,57.4,0.23
16.2,16.2021,3.87408,1.7513,629.43,65.84,0.17
16.3,16.2973,4.221,1.8171,631.47,75.19,0.23
16.4,16.4025,4.2658,1.8486,554.35,85.2,0.15
16.5,16.5022,3.5629,1.8415,616.65,95.21,0.2
16.6,16.6017,3.66828,1.796,596.86,104.95,0.3
16.7,16.7024,4.44796,1.7223,641.68,113.83,0.22
16.8,16.8015,3.4109,1.6326,580.21,121.49,0.2
16.9,16.9133,3.97118,1.5373,589.06,128.13,0.2
17,17.0034,3.74003,1.4296,843.89,133.34,0.24
17.5,17.5021,3.194,1.0062,618.9,151.34,0.22
18,18.0007,4.09604,0.73625,537.98,160.21,0.23
18.5,18.4999,2.68338,0.56844,540.44,165.09,0.22
19,18.9987,2.9546,0.45717,619.98,168.48,0.28
19.5,19.501,3.50842,0.38066,451.55,170.8,0.26
20,20.0004,2.84208,0.32464,672.22,172.46,0.29
21,20.9995,2.89016,0.24795,811.19,174.87,0.48
22,22.0001,3.51103,0.1988,578.15,176.84,0.51
23,22.9996,3.232,0.16582,619.62,178.49,0.47
24,24.0014,3.45772,0.1412,764.1,180,180
25,25.0006,2.6739,0.12186,522.22,180,180
